analysis_id,7221r4bvs2mv1u9
pvalue,0.8521329
mouse_life_stage,Late adult
gene_symbol,Frmpd1
parameter_name,Whole arena average speed
mouse_strain,C57BL
parameter_id,ESLIM_007_001_005
gene_accession_id,MGI:2446274
