parameter_name,Limb coat/hair presence
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:104640
pvalue,0.1385024
analysis_id,e2m027m4c123a88
gene_symbol,Rab17
mouse_strain,C57BL
mouse_life_stage,Early adult
