gene_symbol,Ap5s1
pvalue,0.9966859
gene_accession_id,MGI:1916846
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_027_001
analysis_id,b6wxm210q3q80l2
parameter_name,Persistence of hyaloid vascular system
