analysis_id,ehg38eab331n50l
parameter_name,Latency to center entry
gene_symbol,Hpca
pvalue,0.7100216
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_018_001
gene_accession_id,MGI:1336200
mouse_strain,C57BL
