analysis_id,l7juiqg6d1u27wk
parameter_id,MGP_MLN_005_001
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
gene_symbol,Slc30a4
pvalue,0.9122632
gene_accession_id,MGI:1345282
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
