parameter_id,IMPC_FEA_003_001
gene_symbol,Pglyrp3
mouse_life_stage,Early adult
analysis_id,u6335k60d1ng7g9
mouse_strain,C57BL
parameter_name,Conditioning Baseline % Freezing Time
gene_accession_id,MGI:2685266
pvalue,0.7204333
