analysis_id,3g39b793f915100
parameter_name,Average duration
gene_symbol,Sfpq
parameter_id,JAX_ROT_002_001
pvalue,0.2131087
gene_accession_id,MGI:1918764
mouse_strain,C57BL
mouse_life_stage,Early adult
