mouse_strain,B6J
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
parameter_name,CD11b-low cDC - % of cDC
analysis_id,29401fnp335ty9w
mouse_life_stage,Early adult
pvalue,0.501093
parameter_id,MGP_IMM_067_001
