parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:95457
mouse_strain,C3H
analysis_id,gz930kp3u4jj9w2
pvalue,0.1540871
mouse_life_stage,Early adult
gene_symbol,Mecom
parameter_name,Latency to first transition into dark
