analysis_id,8r152876e3289n3
mouse_strain,C57BL
pvalue,0.9497282
parameter_id,JAXLA_DXA_007_001
gene_symbol,Dcaf12
parameter_name,BMC/Body weight
gene_accession_id,MGI:1916220
mouse_life_stage,Early adult
