mouse_strain,C57BL
analysis_id,c91h8400h6ifveg
parameter_name,HDL-cholesterol
parameter_id,IMPC_CBC_016_001
pvalue,0.6103903
gene_symbol,Rab22a
gene_accession_id,MGI:105072
mouse_life_stage,Early adult
