gene_symbol,Tubb4b
parameter_name,Lens Opacity
mouse_strain,C55BL
parameter_id,UCDLA_EYE_017_001
pvalue,0.5082968
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
analysis_id,48wg24455oz7334
