parameter_name,Skull shape
mouse_strain,129SV
pvalue,0.1763593
gene_symbol,Cntfr
analysis_id,geb0y316cul7e5v
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
parameter_id,CCP_XRY_001_001
