gene_symbol,Cdin1
pvalue,0.9717273
parameter_name,Thyroxine
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3026886
analysis_id,s96p057hi9d14eo
