pvalue,0.6234733
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,IMPC_DXA_009_001
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
parameter_name,Fat/Body weight
analysis_id,c14immam099d663
