gene_symbol,Zmynd19
parameter_id,ESLIM_005_001_005
mouse_strain,C57BL
gene_accession_id,MGI:1914437
analysis_id,c6oh0604zkw1222
parameter_name,Bone Mineral Content
mouse_life_stage,Early adult
pvalue,0.9764476
