analysis_id,2s0680td05bmyss
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Mapkap1
parameter_name,KLRG1+ NK cells - % of CD45+
pvalue,0.23625
parameter_id,MGP_MLN_093_001
gene_accession_id,MGI:2444554
