parameter_name,Vitreous
gene_symbol,Sla2
parameter_id,UCDLA_EYE_083_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3294632
analysis_id,n7ev09430x2cn29
gene_accession_id,MGI:1925049
