gene_symbol,Fam163a
analysis_id,8ndxew21x3894dh
mouse_life_stage,Early adult
pvalue,0.7855973
mouse_strain,C57BL
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:3618859
parameter_id,MGP_IMM_125_001
