gene_symbol,Il1r1
parameter_name,Eosinophils - % of CD45+
analysis_id,w6t604w0to63w79
mouse_strain,C57BL
gene_accession_id,MGI:96545
parameter_id,MGP_IMM_125_001
mouse_life_stage,Early adult
pvalue,0.6009321
