gene_symbol,Bdh2
gene_accession_id,MGI:1917022
mouse_life_stage,Early adult
parameter_name,Heart weight
parameter_id,IMPC_HWT_008_001
pvalue,0.3320701
analysis_id,hb868f1j651nf83
mouse_strain,C54BL
