analysis_id,693yo19i7r453fa
gene_symbol,Sprr1b
parameter_name,Retinal Blood Vessels Pattern
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
pvalue,0.7687433
mouse_strain,C57BL
gene_accession_id,MGI:106659
