analysis_id,7ulr838skk32fri
mouse_life_stage,Early adult
gene_accession_id,MGI:2140475
mouse_strain,C57BL
gene_symbol,AU040320
parameter_id,M-G-P_014_001_010
pvalue,0.4969768
parameter_name,lens opacity
