gene_symbol,Mapkap1
parameter_id,ESLIM_011_001_009
parameter_name,PP3 + pulse startle magnitude
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
mouse_strain,C57BL
pvalue,0.5018123
analysis_id,g65y6f1958c42m5
