analysis_id,n5w51k0nl4jnf4m
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
parameter_id,MGP_CSD_064_001
parameter_name,Head morphology
pvalue,0.7857885
gene_symbol,Ppm1j
mouse_strain,C57BL
