analysis_id,i8476dalcdf3s4y
parameter_name,Heart weight
mouse_life_stage,Early adult
pvalue,0.8955803
gene_symbol,Slc39a10
parameter_id,IMPC_HWT_008_001
gene_accession_id,MGI:1914515
mouse_strain,C57BL
