analysis_id,z6622p98aeevt65
gene_symbol,RGS20
parameter_id,MGP_IMM_013_001
gene_accession_id,MGI:1929866
mouse_strain,C57BL
pvalue,0.4167798
mouse_life_stage,Early adult
parameter_name,Total CD8+ T cells - % of ab T cells
