gene_symbol,Trim46
analysis_id,65m4119qu51c4n1
gene_accession_id,MGI:2673000
mouse_life_stage,Early adult
parameter_name,Total food intake
parameter_id,IMPC_CAL_008_001
mouse_strain,C57BL
pvalue,0.5706862
