analysis_id,3cf160lup0f7p4v
parameter_name,Percentage center time
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:1332236
pvalue,0.7292364
mouse_strain,129SV
gene_symbol,Cds2
mouse_life_stage,Early adult
