parameter_name,Head morphology
analysis_id,z4x9qazd1y4p620
parameter_id,MGP_CSD_064_001
pvalue,0.8028811
gene_accession_id,MGI:99915
gene_symbol,Lamb3
mouse_strain,C57BL
mouse_life_stage,Early adult
