parameter_id,CCP_LFO_001_001
pvalue,0.268259
mouse_strain,C57BL
parameter_name,Weight
mouse_life_stage,Early adult
gene_accession_id,MGI:2441730
gene_symbol,Tbl1xr1
analysis_id,7loml87a4190xs9
