analysis_id,9908100n22ndr92
parameter_name,Vibrissae - appearance
pvalue,0.2462775
mouse_life_stage,Late adult
mouse_strain,C57BL
gene_symbol,AU040320
gene_accession_id,MGI:2140475
parameter_id,HMGULA_DYS_024_001
