analysis_id,mh8l1k79p992h23
pvalue,0.852912
gene_symbol,Lime1
mouse_life_stage,Early adult
parameter_id,IMPC_FEA_106_001
parameter_name,Difference in Cue Tone and Cue Baseline % Freezing
mouse_strain,C57BL
gene_accession_id,MGI:1919949
