parameter_name,Albumin
gene_symbol,Fgb
pvalue,0.7311423
gene_accession_id,MGI:99501
parameter_id,IMPC_CBC_007_001
mouse_life_stage,E12.5
mouse_strain,C57BL
analysis_id,h4762fceg75u472
