analysis_id,ti485318174qq27
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_name,Blood Vessel Morphology
gene_accession_id,MGI:1934811
pvalue,0.8340257
parameter_id,IMPC_GEO_011_001
gene_symbol,Nucks1
