parameter_name,HDL-cholesterol
gene_accession_id,MGI:88461
analysis_id,ph20wf495psp363
gene_symbol,Col6a3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_016_001
pvalue,0.9301459
