analysis_id,jjm2576096lb38u
pvalue,0.3816627
parameter_id,HMGULA_CBC_009_001
mouse_life_stage,E12.5
gene_symbol,Dmap1
parameter_name,Calcium
gene_accession_id,MGI:1913483
mouse_strain,C57BL
