analysis_id,9mr0n26a8757370
parameter_id,IMPC_DXA_003_001
mouse_life_stage,Early adult
gene_symbol,Rhbg
mouse_strain,C57BL
gene_accession_id,MGI:1927379
parameter_name,Lean mass
pvalue,0.7696298
