analysis_id,gdql0l675p457wv
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
pvalue,0.838364
mouse_life_stage,Early adult
parameter_id,MGP_MLN_072_001
parameter_name,KLRG1+ Treg cells - % of CD45+
mouse_strain,C57BL
