analysis_id,2814js4s91o24z4
gene_symbol,Ola1
gene_accession_id,MGI:1914309
parameter_id,MGP_CSD_064_001
parameter_name,Head morphology
pvalue,0.07859828
mouse_life_stage,E18.5
mouse_strain,C57BL
