parameter_name,Prepulse inhibition - PP4
gene_symbol,Slc45a3
mouse_strain,C57BL
parameter_id,ESLIM_011_001_704
pvalue,0.9576427
analysis_id,bht6e50e0cd4hkq
gene_accession_id,MGI:1922082
mouse_life_stage,Early adult
