parameter_id,IMPC_GPP_004_001
parameter_name,Placenta Size
analysis_id,hd1mi376f1dg5xm
gene_accession_id,MGI:1914561
mouse_life_stage,Early adult
pvalue,0.2341591
mouse_strain,C57BL
gene_symbol,Nanp
