gene_symbol,Fpgs
parameter_id,MGP_PBI_035_001
parameter_name,IgD+ mature B cell number
analysis_id,t0019753c25c071
gene_accession_id,MGI:95576
pvalue,0.3303065
mouse_life_stage,Early adult
mouse_strain,C57BL
