parameter_name,Hindpaw - size
gene_symbol,Cmpk1
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
mouse_strain,C57BL
pvalue,0.5376765
parameter_id,JAXLA_CSD_041_002
analysis_id,g081b4kv77j5uo3
