parameter_name,Startle response
pvalue,0.6720471
mouse_strain,C57BL
analysis_id,ow133t6131w7iu5
gene_symbol,Sfpq
mouse_life_stage,Early adult
gene_accession_id,MGI:1918764
parameter_id,IMPC_CSD_036_001
