analysis_id,u2k1u4q0m89s5zz
pvalue,0.2864086
gene_symbol,Zmynd19
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_008_001
parameter_name,18kHz-evoked ABR Threshold
gene_accession_id,MGI:1914437
mouse_strain,C57BL
