pvalue,2.873749e-05
analysis_id,983rgbyy990fncw
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GRS_009_001
parameter_name,Forelimb and hindlimb grip strength measurement mean
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
