parameter_name,HR
gene_symbol,Casq1
mouse_life_stage,Early adult
analysis_id,umel1vt1j7os6vh
mouse_strain,C57BL
parameter_id,JAXLA_ECG_002_001
pvalue,0.9325476
gene_accession_id,MGI:1309468
