gene_symbol,Lpgat1
parameter_name,KLRG1+ gd T cells - % of gd T cells
analysis_id,t2egt5e8s93xp78
mouse_strain,C57BL
pvalue,0.880395
parameter_id,MGP_IMM_022_001
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
