analysis_id,9g3e04607rr2u07
parameter_id,IMPC_IMM_025_001
gene_accession_id,MGI:2684980
mouse_strain,C57BL
gene_symbol,Mms22l
pvalue,0.5947582
mouse_life_stage,Early adult
parameter_name,DN CD25- NKT cells
