analysis_id,ibzri091595r224
parameter_id,MGP_MLN_071_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
pvalue,0.9205668
gene_accession_id,MGI:1341628
gene_symbol,Atrn
