parameter_name,Chloride
parameter_id,HMGULA_CBC_003_001
mouse_life_stage,Early adult
pvalue,0.6674423
gene_symbol,Bpifa3
mouse_strain,C57BL
gene_accession_id,MGI:1920638
analysis_id,g5r1a40mb79a3el
