parameter_id,JAX_ROT_002_001
pvalue,0.872713
gene_accession_id,MGI:1915524
analysis_id,1e4t1t5p2q59siv
gene_symbol,Toporsl
parameter_name,Average duration
mouse_strain,C57BL
mouse_life_stage,Early adult
