gene_symbol,Arnt
analysis_id,13xg7qv360w9y5n
parameter_name,Latency to center entry
pvalue,0.7402749
gene_accession_id,MGI:88071
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_018_001
