analysis_id,n1u95wbzk7k9a40
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rab13
parameter_name,KLRG1+ gd T cells - % of gd T cells
parameter_id,MGP_IMM_022_001
pvalue,0.9419153
gene_accession_id,MGI:1927232
