parameter_name,Periphery average speed
mouse_strain,C57BL
pvalue,0.4503039
gene_symbol,Casq1
analysis_id,z14o7gofr5o78ye
mouse_life_stage,Early adult
parameter_id,JAX_OFD_013_001
gene_accession_id,MGI:1309468
