analysis_id,732d494yg1mft20
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
pvalue,0.6084338
gene_accession_id,MGI:1919949
parameter_name,Basophil differential count
mouse_strain,C57BL
gene_symbol,Lime1
