parameter_name,Glucose
gene_accession_id,MGI:1914437
analysis_id,1345l25bm592h55
pvalue,0.484185
parameter_id,IMPC_CBC_018_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Zmynd19
