parameter_name,Mean platelet volume
mouse_strain,C57BL
pvalue,0.8378217
parameter_id,IMPC_HEM_019_001
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
gene_symbol,Sprr1b
analysis_id,69209e37xfw9ni8
