analysis_id,adj4u701h5008f2
pvalue,0.3636617
gene_symbol,Ift74
parameter_id,IMPC_EYE_056_001
parameter_name,Mean left eye lens density
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
