parameter_name,Center permanence time
pvalue,0.7097136
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,oisodtiun4drlbp
parameter_id,IMPC_OFD_016_001
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
