parameter_name,Aspartate aminotransferase
mouse_life_stage,E12.5
gene_accession_id,MGI:1914071
analysis_id,69q049t6jkfpk20
mouse_strain,C57BL
pvalue,0.8290311
gene_symbol,Bcs1l
parameter_id,IMPC_CBC_012_001
