analysis_id,y1811y376716e5x
pvalue,0.9453224
parameter_name,Distance travelled - total
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
gene_symbol,Hpca
mouse_strain,C57BL
parameter_id,IMPC_OFD_020_001
