parameter_id,HMGULA_GRS_008_001
mouse_life_stage,Early adult
pvalue,0.8782986
gene_symbol,Tiprl
analysis_id,7n464467796hl8b
parameter_name,Forelimb grip strength measurement mean
mouse_strain,C57BL
gene_accession_id,MGI:1915087
